date,search
2020-03-27,30.46683
2020-03-28,42.38329
2020-03-29,27.51842
2020-03-30,18.42751
2020-03-31,22.72727
2020-04-01,23.71007
2020-04-02,20.51597
2020-04-03,20.51597
2020-04-04,35.99508
2020-04-05,28.13267
2020-04-06,17.93611
2020-04-07,18.67321
2020-04-08,19.53316
2020-04-09,20.39312
2020-04-10,17.44471
2020-04-11,22.35872
2020-04-12,25.79852
2020-04-13,19.65601
2020-04-14,20.14742
2020-04-15,25.92137
2020-04-16,17.56756
2020-04-17,19.90171
2020-04-18,34.15233
2020-04-19,21.49877
2020-04-20,13.39066
2020-04-21,16.21621
2020-04-22,24.69287
2020-04-23,21.49877
2020-04-24,29.36117
2020-04-25,31.81818
2020-04-26,35.13513
2020-04-27,23.71007
2020-04-28,19.77886
2020-04-29,24.57002
2020-04-30,36.36363
2020-05-01,32.06388
2020-05-02,38.32923
2020-05-03,31.69533
2020-05-04,30.95823
2020-05-05,34.88943
2020-05-06,16.95331
2020-05-07,19.16461
2020-05-08,14.49631
2020-05-09,22.48157
2020-05-10,35.99508
2020-05-11,86.60933
2020-05-12,86.36363
2020-05-13,62.53071
2020-05-14,35.99508
2020-05-15,14.61916
2020-05-16,9.5823
2020-05-17,7.8624
2020-05-18,15.35626
2020-05-19,14.86486
2020-05-20,8.5995
2020-05-21,5.52825
2020-05-22,3.80835
2020-05-23,6.75675
2020-05-24,9.5823
2020-05-25,9.3366
2020-05-26,8.3538
2020-05-27,7.49385
2020-05-28,6.6339
2020-05-29,6.1425
2020-05-30,5.8968
2020-05-31,8.3538
2020-06-01,5.28255
2020-06-02,6.26535
2020-06-03,6.3882
2020-06-04,5.8968
2020-06-05,8.23095
2020-06-06,6.75675
2020-06-07,7.371
2020-06-08,5.77395
2020-06-09,8.5995
2020-06-10,9.0909
2020-06-11,9.3366
2020-06-12,11.42506
2020-06-13,9.70515
2020-06-14,10.93366
2020-06-15,5.6511
2020-06-16,9.45945
2020-06-17,11.42506
2020-06-18,10.56511
2020-06-19,6.1425
